C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/03/09,02:15:13,0000000305250977,,0000000305250784
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/02/01 00:30:00",1,NSW1,1,63.24,0,0,"2019/02/01 00:25:03",63.24,2.12,2.12,1.66,1.66,2.26,2.26,11.52,11.52,0.03,0.03,0.07,0.07,0.57,0.57,10.06,10.06,FIRM
D,TRADING,PRICE,2,"2019/02/01 00:30:00",1,QLD1,1,63.35,0,0,"2019/02/01 00:25:03",63.35,2.12,2.12,1.66,1.66,2.26,2.26,11.52,11.52,0.03,0.03,0.07,0.07,0.57,0.57,10.06,10.06,FIRM
D,TRADING,PRICE,2,"2019/02/01 00:30:00",1,SA1,1,86.54,0,0,"2019/02/01 00:25:03",86.54,2.12,2.12,1.66,1.66,2.26,2.26,11.52,11.52,0.03,0.03,0.07,0.07,0.57,0.57,10.06,10.06,FIRM
D,TRADING,PRICE,2,"2019/02/01 00:30:00",1,TAS1,1,133.49,0,0,"2019/02/01 00:25:03",133.49,4.17,4.17,2.95,2.95,8.95,8.95,8.95,8.95,0.03,0.03,0.07,0.07,0.1,0.1,9.59,9.59,FIRM
D,TRADING,PRICE,2,"2019/02/01 00:30:00",1,VIC1,1,100.97,0,0,"2019/02/01 00:25:03",100.97,2.12,2.12,1.66,1.66,2.26,2.26,11.52,11.52,0.03,0.03,0.07,0.07,0.57,0.57,10.06,10.06,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:00:00",1,NSW1,2,66.52,0,0,"2019/02/01 00:55:03",66.52,1.74,1.74,1,1,2.13,2.13,8.74,8.74,0.03,0.03,0.09,0.09,0.9,0.9,16,16,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:00:00",1,QLD1,2,66.3,0,0,"2019/02/01 00:55:03",66.3,1.74,1.74,1,1,2.13,2.13,8.74,8.74,0.03,0.03,0.09,0.09,0.9,0.9,16,16,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:00:00",1,SA1,2,73.78,0,0,"2019/02/01 00:55:03",73.78,1.74,1.74,1,1,2.13,2.13,8.74,8.74,0.03,0.03,0.09,0.09,0.9,0.9,16,16,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:00:00",1,TAS1,2,133.49,0,0,"2019/02/01 00:55:03",133.49,2.83,2.83,2.95,2.95,7.83,7.83,8.95,8.95,0.03,0.03,0.05,0.05,0.06,0.06,15.16,15.16,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:00:00",1,VIC1,2,86,0,0,"2019/02/01 00:55:03",86,1.74,1.74,1,1,2.13,2.13,8.74,8.74,0.03,0.03,0.09,0.09,0.9,0.9,16,16,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:30:00",1,NSW1,3,81.33,0,0,"2019/02/01 01:25:03",81.33,1.66,1.66,1,1,1.67,1.67,9.81,9.81,0.03,0.03,0.11,0.11,0.84,0.84,12.81,12.81,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:30:00",1,QLD1,3,80.15,0,0,"2019/02/01 01:25:03",80.15,1.66,1.66,1,1,1.67,1.67,9.81,9.81,0.03,0.03,0.11,0.11,0.84,0.84,12.81,12.81,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:30:00",1,SA1,3,93.54,0,0,"2019/02/01 01:25:03",93.54,1.66,1.66,1,1,1.67,1.67,9.81,9.81,0.03,0.03,0.11,0.11,0.84,0.84,12.81,12.81,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:30:00",1,TAS1,3,134.13,0,0,"2019/02/01 01:25:03",134.13,4.67,4.67,2.95,2.95,8.47,8.47,9.59,9.59,0.03,0.03,0.05,0.05,0.07,0.07,12.04,12.04,FIRM
D,TRADING,PRICE,2,"2019/02/01 01:30:00",1,VIC1,3,113.73,0,0,"2019/02/01 01:25:03",113.73,1.66,1.66,1,1,1.67,1.67,9.81,9.81,0.03,0.03,0.11,0.11,0.84,0.84,12.81,12.81,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:00:00",1,NSW1,4,82.33,0,0,"2019/02/01 01:55:03",82.33,1.62,1.62,1.29,1.29,1.66,1.66,8.49,8.49,0.03,0.03,0.15,0.15,0.91,0.91,10.22,10.22,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:00:00",1,QLD1,4,81.19,0,0,"2019/02/01 01:55:03",81.19,1.62,1.62,1.29,1.29,1.66,1.66,8.49,8.49,0.03,0.03,0.15,0.15,0.91,0.91,10.22,10.22,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:00:00",1,SA1,4,80.11,0,0,"2019/02/01 01:55:03",80.11,1.62,1.62,1.29,1.29,1.66,1.66,8.49,8.49,0.03,0.03,0.15,0.15,0.91,0.91,10.22,10.22,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:00:00",1,TAS1,4,133.49,0,0,"2019/02/01 01:55:03",133.49,3.33,3.33,2.95,2.95,7.66,7.66,8.95,8.95,0.03,0.03,0.07,0.07,0.07,0.07,9.39,9.39,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:00:00",1,VIC1,4,95.01,0,0,"2019/02/01 01:55:03",95.01,1.62,1.62,1.29,1.29,1.66,1.66,8.49,8.49,0.03,0.03,0.15,0.15,0.91,0.91,10.22,10.22,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:30:00",1,NSW1,5,79.91,0,0,"2019/02/01 02:25:03",79.91,1,1,0.86,0.86,0.95,0.95,9.61,9.61,0.03,0.03,0.15,0.15,0.8,0.8,9.21,9.21,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:30:00",1,QLD1,5,78.79,0,0,"2019/02/01 02:25:03",78.79,1,1,0.86,0.86,0.95,0.95,9.61,9.61,0.03,0.03,0.15,0.15,0.8,0.8,9.21,9.21,FIRM
D,TRADING,PRICE,2,"2019/02/01 02:30:00",1,SA1,5,70.04,0,0,"2019/02/01 02:25:03",70.04,1,1,0.86,0.86,0.95,0.95,9.61,9.61,0.03,0.03,0.15,0.15,0.8,0.8,9.21,9.21,FIRM
